gamma1,lambda1,delta,epsilon,NRow,NCol,FValue
1.04430777761713,0.05,1.13620938048944,1.93257625039277,0.0,1.33684579660621e-05,-5.52637613935893e-11
1.04430777761713,0.05,1.13620938048944,1.93257625039277,0.0,1.33684579660621e-05,-5.52637613935893e-11
1.04430777761713,0.05,1.13620938048944,1.93257625039277,4.68439844939035e-08,8.35519297344371e-08,-1.4321685745712e-13
1.04430777761713,0.05,1.13620938048944,1.93257625039277,4.68439844939035e-08,4.81893546498641e-08,-3.31982416452383e-15
1.04430777761713,0.05,1.13620938048944,1.93257625039277,1.09809671677899e-07,1.16082356021407e-08,3.83121440683869e-13
1.04430777761713,0.05,1.13620938048944,1.93257625039277,7.93409145270824e-08,7.256283233960881e-09,1.77644005536559e-13
1.04430777761713,0.05,1.13620938048944,1.93257625039277,4.36649108226373e-07,7.93409145270824e-08,1.39407994659892e-12
1.04430777761713,0.05,1.13620938048944,1.93257625039277,5.1311318360459e-09,3.62567902844852e-07,-1.39466090419525e-12
1.04430777761713,0.05,1.13620938048944,1.93257625039277,2.41001368119069e-07,1.52650094150882e-07,3.01201799563231e-13
1.04430777761713,0.05,1.13620938048944,1.93257625039277,1.83473748461159e-08,6.12939701738719e-08,-1.67557528116502e-13
1.04430777761713,0.05,1.13620938048944,1.93257625039277,1.29819266586923e-05,6.71285034361741e-07,4.8122876475118796e-11
1.04430777761713,0.05,1.13620938048944,1.93257625039277,1.29819266586923e-05,5.68499886182609e-07,4.85213874851788e-11
1.04430777761713,0.05,1.13620938048944,1.93257625039277,2.46779248696304e-07,1.21559781215247e-07,4.88570712783851e-13
1.04430777761713,0.05,1.13620938048944,1.93257625039277,3.45906044928007e-07,7.47800556222594e-08,7.36086399277418e-13
1.04430777761713,0.05,1.13620938048944,1.93257625039277,3.28438007476515e-07,2.07006201430174e-07,4.73811935566203e-13
1.04430777761713,0.05,1.13620938048944,1.93257625039277,1.28093044842691e-05,6.5831609723908e-07,4.75517108317978e-11
1.04430777761713,0.05,1.13620938048944,1.93257625039277,9.41676381181346e-07,3.3197494672218e-07,2.37952703853151e-12
1.04430777761713,0.05,1.13620938048944,1.93257625039277,1.26538106601804e-06,1.01342986476356e-06,9.890405143815159e-13
1.04430777761713,0.05,1.13620938048944,1.93257625039277,1.02196447478808e-06,1.04465401103832e-07,2.27025198523607e-12
1.04430777761713,0.05,1.13620938048944,1.93257625039277,2.67657091961177e-07,3.85259912767061e-07,-5.03030697609211e-13
1.04430777761713,0.05,1.13620938048944,1.93257625039277,4.12896863097037e-07,2.44286298814821e-07,6.57939655252003e-13
1.04430777761713,0.05,1.13620938048944,1.93257625039277,5.03972795651003e-07,2.50137253543288e-07,9.90484646283955e-13
1.04430777761713,0.05,1.13620938048944,1.93257625039277,3.90975522955794e-07,7.15036763486676e-07,-1.26945066012656e-12
1.04430777761713,0.05,1.13620938048944,1.93257625039277,1.16999903933172e-06,1.03125233422423e-06,5.4178258973566e-13
1.04430777761713,0.05,1.13620938048944,1.93257625039277,1.0439996696177e-06,4.86941760443144e-07,2.1746828493460497e-12
1.04430777761713,0.05,1.13620938048944,1.93257625039277,1.19502209206959e-06,1.15851608770123e-06,1.43501967544281e-13
1.04430777761713,0.05,1.13620938048944,1.93257625039277,3.53700435408358e-07,3.66127462547039e-07,-4.8489240110101204e-14
1.04430777761713,0.05,1.13620938048944,1.93257625039277,1.23850427669828e-06,1.09813723590667e-06,5.48190471277117e-13
1.04430777761713,0.05,1.13620938048944,1.93257625039277,5.2711060125079e-07,1.28850785646049e-06,-2.99763891090729e-12
1.04430777761713,0.05,1.13620938048944,1.93257625039277,3.46947120289671e-07,5.81645462490645e-07,-1.61135726621878e-13
1.04430777761713,0.05,1.13620938048944,1.93257625039277,1.05263776576916e-06,3.67406976561079e-07,2.6742289105011897e-12
1.04430777761713,0.05,1.13620938048944,1.93257625039277,3.7650716621614e-07,1.40937938335477e-06,-3.83783068256846e-12
1.04430777761713,0.05,1.13620938048944,1.93257625039277,1.28433868351467e-06,1.40611601838249e-06,-4.80191019251752e-13
1.04430777761713,0.05,1.13620938048944,1.93257625039277,1.47454094152499e-06,1.2809034089455e-06,7.566358999172249e-13
1.04430777761713,0.05,1.13620938048944,1.93257625039277,1.53694839403451e-06,1.20711483857949e-05,-4.36255528140505e-11
